,EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,2,37,Keluar,Travel_Rarely,1141,Research & Development,11,2,Medical,1,1,Female,61,1,2,Healthcare Representative,2,Married,4777,14382,5,Y,Tidak Lembur,15,3,1,80,0,15,2,1,1,0,0,0
2,3,51,Keluar,Travel_Rarely,1323,Research & Development,4,4,Life Sciences,1,1,Male,34,3,1,Research Scientist,3,Married,2461,10332,9,Y,Lembur,12,3,3,80,3,18,2,4,10,0,2,7
3,4,42,Bertahan,Travel_Frequently,555,Sales,26,3,Marketing,1,3,Female,77,3,4,Sales Executive,2,Married,13525,14864,5,Y,Tidak Lembur,14,3,4,80,1,23,2,4,20,4,4,8
6,7,40,Bertahan,Travel_Rarely,1124,Sales,1,2,Medical,1,2,Male,57,1,2,Sales Executive,4,Married,7457,13273,2,Y,Lembur,22,4,3,80,3,6,2,2,4,3,0,2
7,8,55,Keluar,Travel_Rarely,725,Research & Development,2,3,Medical,1,4,Male,78,3,5,Manager,1,Married,19859,21199,5,Y,Lembur,13,3,4,80,1,24,2,3,5,2,1,4
8,9,36,Bertahan,Travel_Frequently,635,Research & Development,18,1,Medical,1,2,Female,73,3,1,Laboratory Technician,4,Single,2153,7703,1,Y,Tidak Lembur,13,3,1,80,0,8,2,3,8,1,1,7
9,10,32,Bertahan,Travel_Rarely,1018,Research & Development,3,2,Life Sciences,1,3,Female,39,3,3,Research Director,4,Single,11159,19373,3,Y,Tidak Lembur,15,3,4,80,0,10,6,3,7,7,7,7
10,11,25,Bertahan,Travel_Rarely,583,Sales,4,1,Marketing,1,3,Male,87,2,2,Sales Executive,1,Married,4256,18154,1,Y,Tidak Lembur,12,3,1,80,0,5,1,4,5,2,0,3
11,12,20,Keluar,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,1,Male,84,3,1,Laboratory Technician,1,Single,2973,13008,1,Y,Tidak Lembur,19,3,2,80,0,1,2,3,1,0,0,0
13,14,42,Bertahan,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,1,Female,44,3,4,Research Director,4,Single,15992,15901,2,Y,Tidak Lembur,14,3,2,80,0,16,2,3,1,0,0,0
14,15,31,Bertahan,Travel_Rarely,616,Research & Development,12,3,Medical,1,4,Female,41,3,2,Healthcare Representative,4,Married,5855,17369,0,Y,Lembur,11,3,3,80,2,10,2,1,9,7,8,5
15,16,38,Bertahan,Non-Travel,573,Research & Development,6,3,Medical,1,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Y,Lembur,12,3,4,80,3,17,3,3,13,11,1,9
16,17,39,Bertahan,Travel_Rarely,408,Research & Development,2,4,Technical Degree,1,4,Female,80,2,2,Healthcare Representative,3,Single,4553,20978,1,Y,Tidak Lembur,11,3,1,80,0,20,4,3,20,7,11,10
17,18,54,Bertahan,Travel_Rarely,821,Research & Development,5,2,Medical,1,1,Male,86,3,5,Research Director,1,Married,19406,8509,4,Y,Tidak Lembur,11,3,3,80,1,24,4,2,4,2,1,2
19,20,49,Bertahan,Travel_Rarely,1098,Research & Development,4,2,Medical,1,1,Male,85,2,5,Manager,3,Married,18711,12124,2,Y,Tidak Lembur,13,3,3,80,1,23,2,4,1,0,0,0
20,21,24,Bertahan,Travel_Rarely,691,Research & Development,23,3,Medical,1,2,Male,89,4,1,Research Scientist,4,Married,2725,21630,1,Y,Lembur,11,3,2,80,2,6,3,3,6,5,1,4
21,22,40,Bertahan,Travel_Rarely,302,Research & Development,6,3,Life Sciences,1,2,Female,75,3,4,Manufacturing Director,3,Single,13237,20364,7,Y,Tidak Lembur,15,3,3,80,0,22,3,3,20,6,5,13
22,23,41,Bertahan,Non-Travel,267,Sales,10,2,Life Sciences,1,4,Male,56,3,2,Sales Executive,4,Single,6230,13430,7,Y,Tidak Lembur,14,3,4,80,0,16,3,3,14,3,1,10
